NDC,cluster,Major_Class,Acute_Chronic,Prod_Form
2772411,1,IMMUNOLOGY,CHRONIC,INJECTABLES
2821501,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2821517,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2831501,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2831517,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2840001,1,OSTEOPOROSIS,CHRONIC,INJECTABLES
2850101,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2871501,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2871517,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2879701,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2879759,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2879859,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2879901,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2879959,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2880301,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2880359,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2880501,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2880559,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2882401,1,ANTIDIABETICS,CHRONIC,INJECTABLES
2882427,1,ANTIDIABETICS,CHRONIC,INJECTABLES
3037113,1,IMMUNOSUPPRESSANTS,ACUTE,INJECTABLES
3052411,1,ONCOLOGICS,ACUTE,ORALS
3052711,1,ONCOLOGICS,ACUTE,ORALS
3052811,1,ONCOLOGICS,ACUTE,ORALS
3083050,1,ONCOLOGICS,ACUTE,ORALS
3085222,1,ONCOLOGICS,ACUTE,ORALS
3085522,1,ONCOLOGICS,ACUTE,ORALS
3085722,1,ONCOLOGICS,ACUTE,ORALS
3089321,1,ANTICOAGULANTS,CHRONIC,ORALS
3089331,1,ANTICOAGULANTS,CHRONIC,ORALS
3089421,1,ANTICOAGULANTS,CHRONIC,ORALS
3089431,1,ANTICOAGULANTS,CHRONIC,ORALS
3089470,1,ANTICOAGULANTS,CHRONIC,ORALS
3161112,1,VIRAL HEPATITIS,ACUTE,ORALS
3161212,1,VIRAL HEPATITIS,ACUTE,ORALS
3161412,1,VIRAL HEPATITIS,ACUTE,ORALS
3218811,1,IMMUNOLOGY,CHRONIC,INJECTABLES
3218851,1,IMMUNOLOGY,CHRONIC,INJECTABLES
3232711,1,ONCOLOGICS,ACUTE,INJECTABLES
3232822,1,ONCOLOGICS,ACUTE,INJECTABLES
3256016,1,ANTIBACTERIALS,ACUTE,INJECTABLES
3257016,1,ANTIBACTERIALS,ACUTE,INJECTABLES
3281811,1,IMMUNOLOGY,CHRONIC,INJECTABLES
3362212,1,HIV ANTIVIRALS,CHRONIC,ORALS
3362412,1,HIV ANTIVIRALS,CHRONIC,ORALS
3363112,1,HIV ANTIVIRALS,CHRONIC,ORALS
3364111,1,HIV ANTIVIRALS,CHRONIC,ORALS
3377211,1,ONCOLOGICS,ACUTE,INJECTABLES
3377412,1,ONCOLOGICS,ACUTE,INJECTABLES
3452211,1,ONCOLOGICS,ACUTE,INJECTABLES
3517805,1,LIPID REGULATORS,CHRONIC,ORALS
3519410,1,LIPID REGULATORS,CHRONIC,ORALS
4003822,1,"ANTIVIRALS, HERPES",CHRONIC,ORALS
4003909,1,"ANTIVIRALS, HERPES",CHRONIC,ORALS
4005801,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
4006801,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
4009801,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
4018683,1,OSTEOPOROSIS,CHRONIC,ORALS
4024451,1,HIV ANTIVIRALS,CHRONIC,ORALS
4025901,1,IMMUNOSUPPRESSANTS,ACUTE,ORALS
4025943,1,IMMUNOSUPPRESSANTS,ACUTE,ORALS
4026001,1,IMMUNOSUPPRESSANTS,ACUTE,ORALS
4026043,1,IMMUNOSUPPRESSANTS,ACUTE,ORALS
4026129,1,IMMUNOSUPPRESSANTS,ACUTE,ORALS
4035009,1,VIRAL HEPATITIS,ACUTE,INJECTABLES
4035730,1,VIRAL HEPATITIS,ACUTE,INJECTABLES
4038140,1,HIV ANTIVIRALS,CHRONIC,INJECTABLES
4080085,1,"COUGH COLD, INCL FLU ANTIVIRALS",ACUTE,ORALS
4080185,1,"COUGH COLD, INCL FLU ANTIVIRALS",ACUTE,ORALS
4080285,1,"COUGH COLD, INCL FLU ANTIVIRALS",ACUTE,ORALS
4082205,1,"COUGH COLD, INCL FLU ANTIVIRALS",ACUTE,ORALS
4110020,1,ONCOLOGICS,ACUTE,ORALS
4110150,1,ONCOLOGICS,ACUTE,ORALS
5010005,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
5010010,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
5197101,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
5197102,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
5197105,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6000530,1,OTHER CNS,ACUTE,ORALS
6003144,1,OSTEOPOROSIS,CHRONIC,ORALS
6003220,1,"ANTI-PARASITICS, ANTIMALARIALS, INSECTICIDES",ACUTE,ORALS
6003310,1,OTHER CNS,ACUTE,ORALS
6003330,1,OTHER CNS,ACUTE,ORALS
6007131,1,DERMATOLOGICS,ACUTE,ORALS
6007154,1,DERMATOLOGICS,ACUTE,ORALS
6007231,1,BPH (BENIGN PROSTATIC HYPERTROPHY),CHRONIC,ORALS
6007258,1,BPH (BENIGN PROSTATIC HYPERTROPHY),CHRONIC,ORALS
6007861,1,ANTIDIABETICS,CHRONIC,ORALS
6007862,1,ANTIDIABETICS,CHRONIC,ORALS
6007882,1,ANTIDIABETICS,CHRONIC,ORALS
6008061,1,ANTIDIABETICS,CHRONIC,ORALS
6008062,1,ANTIDIABETICS,CHRONIC,ORALS
6008082,1,ANTIDIABETICS,CHRONIC,ORALS
6008131,1,ANTIDIABETICS,CHRONIC,ORALS
6008154,1,ANTIDIABETICS,CHRONIC,ORALS
6008182,1,ANTIDIABETICS,CHRONIC,ORALS
6010654,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6011228,1,ANTIDIABETICS,CHRONIC,ORALS
6011231,1,ANTIDIABETICS,CHRONIC,ORALS
6011254,1,ANTIDIABETICS,CHRONIC,ORALS
6020754,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6022101,1,ANTIDIABETICS,CHRONIC,ORALS
6022128,1,ANTIDIABETICS,CHRONIC,ORALS
6022131,1,ANTIDIABETICS,CHRONIC,ORALS
6022154,1,ANTIDIABETICS,CHRONIC,ORALS
6022761,1,HIV ANTIVIRALS,CHRONIC,ORALS
6026718,1,PAIN,ACUTE,ORALS
6027044,1,OSTEOPOROSIS,CHRONIC,ORALS
6027701,1,ANTIDIABETICS,CHRONIC,ORALS
6027728,1,ANTIDIABETICS,CHRONIC,ORALS
6027731,1,ANTIDIABETICS,CHRONIC,ORALS
6027754,1,ANTIDIABETICS,CHRONIC,ORALS
6027782,1,ANTIDIABETICS,CHRONIC,ORALS
6032530,1,OTHER CNS,ACUTE,ORALS
6033510,1,OTHER CNS,ACUTE,ORALS
6033530,1,OTHER CNS,ACUTE,ORALS
6046102,1,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
6046106,1,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
6046405,1,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
6046410,1,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
6047761,1,HIV ANTIVIRALS,CHRONIC,ORALS
6056840,1,ONCOLOGICS,ACUTE,ORALS
6057362,1,HIV ANTIVIRALS,CHRONIC,ORALS
6057561,1,ANTIDIABETICS,CHRONIC,ORALS
6057562,1,ANTIDIABETICS,CHRONIC,ORALS
6057582,1,ANTIDIABETICS,CHRONIC,ORALS
6057761,1,ANTIDIABETICS,CHRONIC,ORALS
6057762,1,ANTIDIABETICS,CHRONIC,ORALS
6057782,1,ANTIDIABETICS,CHRONIC,ORALS
6071044,1,OSTEOPOROSIS,CHRONIC,ORALS
6071731,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6071754,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6073531,1,LIPID REGULATORS,CHRONIC,ORALS
6073554,1,LIPID REGULATORS,CHRONIC,ORALS
6074031,1,LIPID REGULATORS,CHRONIC,ORALS
6074054,1,LIPID REGULATORS,CHRONIC,ORALS
6074531,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6074554,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6074731,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6074754,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6074931,1,LIPID REGULATORS,CHRONIC,ORALS
6074954,1,LIPID REGULATORS,CHRONIC,ORALS
6095154,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6095231,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6095254,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6096031,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6096054,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6171131,1,RESPIRATORY AGENTS,CHRONIC,ORALS
6302602,1,ONCOLOGICS,ACUTE,INJECTABLES
6306100,1,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,INJECTABLES
6306603,1,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
6307402,1,VIRAL HEPATITIS,ACUTE,ORALS
6308001,1,HIV ANTIVIRALS,CHRONIC,ORALS
6351659,1,ANTIBACTERIALS,ACUTE,INJECTABLES
6351936,1,MIOTICS+ANTIGLAUCOMA PREPS,CHRONIC,OPHTHALMICS
6382210,1,SYST ANTIFUNGALS,ACUTE,INJECTABLES
6384130,1,RESPIRATORY AGENTS,CHRONIC,ORALS
6384371,1,ANTIBACTERIALS,ACUTE,INJECTABLES
6386203,1,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
6391668,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
6409402,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6409601,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6409602,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6411901,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6411903,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6412101,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6412102,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6468100,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6468101,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6482700,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6482701,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6483141,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6483701,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6483703,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6484100,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6484101,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6484141,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6489700,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6494300,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6494301,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6496300,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6496301,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6496341,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6498100,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6499200,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6499500,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6499541,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6911731,1,RESPIRATORY AGENTS,CHRONIC,ORALS
6911754,1,RESPIRATORY AGENTS,CHRONIC,ORALS
6927531,1,RESPIRATORY AGENTS,CHRONIC,ORALS
7337013,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7337113,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7337213,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7337313,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7365022,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7413920,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7414020,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7414120,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7414220,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7488213,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
8083321,1,MENTAL HEALTH,CHRONIC,ORALS
8083322,1,MENTAL HEALTH,CHRONIC,ORALS
8083603,1,MENTAL HEALTH,CHRONIC,ORALS
8083620,1,MENTAL HEALTH,CHRONIC,ORALS
8083621,1,MENTAL HEALTH,CHRONIC,ORALS
8083622,1,MENTAL HEALTH,CHRONIC,ORALS
8083721,1,MENTAL HEALTH,CHRONIC,ORALS
8083722,1,MENTAL HEALTH,CHRONIC,ORALS
8084181,1,ANTI-ULCERANTS,CHRONIC,ORALS
8084381,1,ANTI-ULCERANTS,CHRONIC,ORALS
8084401,1,ANTI-ULCERANTS,CHRONIC,ORALS
8084402,1,ANTI-ULCERANTS,CHRONIC,ORALS
8092355,1,ANTI-ULCERANTS,CHRONIC,INJECTABLES
8092360,1,ANTI-ULCERANTS,CHRONIC,INJECTABLES
8103004,1,IMMUNOSUPPRESSANTS,ACUTE,ORALS
8103006,1,IMMUNOSUPPRESSANTS,ACUTE,ORALS
8104005,1,IMMUNOSUPPRESSANTS,ACUTE,ORALS
8104105,1,IMMUNOSUPPRESSANTS,ACUTE,ORALS
8104205,1,IMMUNOSUPPRESSANTS,ACUTE,ORALS
8112312,1,"SEX HORMONES (ANDROGENS, OESTROGENS, PROGESTOGENS,",CHRONIC,ORALS
8121030,1,MENTAL HEALTH,CHRONIC,ORALS
8121101,1,MENTAL HEALTH,CHRONIC,ORALS
8121114,1,MENTAL HEALTH,CHRONIC,ORALS
8121130,1,MENTAL HEALTH,CHRONIC,ORALS
8122201,1,MENTAL HEALTH,CHRONIC,ORALS
8122214,1,MENTAL HEALTH,CHRONIC,ORALS
8122230,1,MENTAL HEALTH,CHRONIC,ORALS
8411701,1,ANTITUBERCULARS,CHRONIC,ORALS
8499020,1,ANTIBACTERIALS,ACUTE,INJECTABLES
9000302,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,INJECTABLES
9001103,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,INJECTABLES
9001104,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,INJECTABLES
9001201,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,ORALS
9001305,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,INJECTABLES
9001306,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,INJECTABLES
9001755,1,OTHER CNS,ACUTE,ORALS
9001758,1,OTHER CNS,ACUTE,ORALS
9001820,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,INJECTABLES
9002001,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,ORALS
9002901,1,OTHER CNS,CHRONIC,ORALS
9003101,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,ORALS
9003928,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,INJECTABLES
9003930,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,INJECTABLES
9004401,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,ORALS
9004722,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,INJECTABLES
9004725,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,INJECTABLES
9005002,1,"SEX HORMONES (ANDROGENS, OESTROGENS, PROGESTOGENS,",ACUTE,ORALS
9005501,1,OTHER CNS,CHRONIC,ORALS
9005503,1,OTHER CNS,CHRONIC,ORALS
9005602,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,ORALS
9005604,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,ORALS
9005707,1,OTHER CNS,CHRONIC,ORALS
9005907,1,OTHER CNS,CHRONIC,ORALS
9007301,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,ORALS
9008510,1,"SEX HORMONES (ANDROGENS, OESTROGENS, PROGESTOGENS,",ACUTE,INJECTABLES
9008601,1,"SEX HORMONES (ANDROGENS, OESTROGENS, PROGESTOGENS,",ACUTE,INJECTABLES
9008610,1,"SEX HORMONES (ANDROGENS, OESTROGENS, PROGESTOGENS,",ACUTE,INJECTABLES
9009001,1,OTHER CNS,CHRONIC,ORALS
9009004,1,OTHER CNS,CHRONIC,ORALS
9009401,1,OTHER CNS,CHRONIC,ORALS
9027101,1,"SEX HORMONES (ANDROGENS, OESTROGENS, PROGESTOGENS,",CHRONIC,INJECTABLES
9027401,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,INJECTABLES
9028002,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,INJECTABLES
9028003,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,INJECTABLES
9030602,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,INJECTABLES
9033102,1,ANTIBACTERIALS,ACUTE,ORALS
9034702,1,"SEX HORMONES (ANDROGENS, OESTROGENS, PROGESTOGENS,",ACUTE,INJECTABLES
9037003,1,LIPID REGULATORS,CHRONIC,ORALS
9041701,1,"SEX HORMONES (ANDROGENS, OESTROGENS, PROGESTOGENS,",ACUTE,INJECTABLES
9041702,1,"SEX HORMONES (ANDROGENS, OESTROGENS, PROGESTOGENS,",ACUTE,INJECTABLES
9045003,1,LIPID REGULATORS,CHRONIC,ORALS
9055501,1,ANTIBACTERIALS,ACUTE,INJECTABLES
9062601,1,ONCOLOGICS,CHRONIC,INJECTABLES
9069801,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,INJECTABLES
9074630,1,"HORMONAL CONTRACEPTION, SYSTEMIC&TOPICAL",ACUTE,INJECTABLES
9075801,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,INJECTABLES
9082501,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,INJECTABLES
9307301,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,INJECTABLES
9307303,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,INJECTABLES
9316901,1,OTHER CARDIOVASCULARS,ACUTE,INJECTABLES
9332901,1,DERMATOLOGICS,ACUTE,DERMATOLOGICALS
9333101,1,DERMATOLOGICS,ACUTE,DERMATOLOGICALS
9333102,1,DERMATOLOGICS,ACUTE,DERMATOLOGICALS
9347501,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,INJECTABLES
9347503,1,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,INJECTABLES
9370105,1,ERECTILE DYSFUNCTION,CHRONIC,INJECTABLES
9454402,1,URINARY INCONTINENCE,CHRONIC,ORALS
9470913,1,"HORMONAL CONTRACEPTION, SYSTEMIC&TOPICAL",ACUTE,INJECTABLES
9501201,1,ANTIDIABETICS,CHRONIC,ORALS
9501301,1,ANTIDIABETICS,CHRONIC,ORALS
9513601,1,ANTIBACTERIALS,ACUTE,ORALS
9513802,1,ANTIBACTERIALS,ACUTE,ORALS
9518101,1,ERECTILE DYSFUNCTION,CHRONIC,OTHER SYSTEMICS
9518201,1,ERECTILE DYSFUNCTION,CHRONIC,OTHER SYSTEMICS
9519001,1,URINARY INCONTINENCE,CHRONIC,ORALS
9519002,1,URINARY INCONTINENCE,CHRONIC,ORALS
9519101,1,URINARY INCONTINENCE,CHRONIC,ORALS
9519102,1,URINARY INCONTINENCE,CHRONIC,ORALS
9519103,1,URINARY INCONTINENCE,CHRONIC,ORALS
9737611,1,"HORMONAL CONTRACEPTION, SYSTEMIC&TOPICAL",ACUTE,INJECTABLES
9752903,1,ONCOLOGICS,ACUTE,INJECTABLES
9752905,1,ONCOLOGICS,ACUTE,INJECTABLES
9766304,1,ONCOLOGICS,CHRONIC,ORALS
9766701,1,GENITO-URINARY ANTIBACTERIALS & ANTISEPTICS & ANTI,ACUTE,VAGINALS
9768604,1,ERECTILE DYSFUNCTION,CHRONIC,INJECTABLES
13010120,1,GI PRODUCTS,CHRONIC,ORALS
13010201,1,GI PRODUCTS,CHRONIC,ORALS
13010220,1,GI PRODUCTS,CHRONIC,ORALS
13830304,1,MIOTICS+ANTIGLAUCOMA PREPS,CHRONIC,OPHTHALMICS
15308060,1,ONCOLOGICS,ACUTE,ORALS
23004203,1,DERMATOLOGICS,ACUTE,DERMATOLOGICALS
23031604,1,"OPHTHALMOLOGY, GENERAL",ACUTE,OPHTHALMICS
23320503,1,MIOTICS+ANTIGLAUCOMA PREPS,CHRONIC,OPHTHALMICS
23320505,1,MIOTICS+ANTIGLAUCOMA PREPS,CHRONIC,OPHTHALMICS
23320508,1,MIOTICS+ANTIGLAUCOMA PREPS,CHRONIC,OPHTHALMICS
23361605,1,"OPHTHALMOLOGY, GENERAL",CHRONIC,OPHTHALMICS
23361670,1,"OPHTHALMOLOGY, GENERAL",CHRONIC,OPHTHALMICS
23429003,1,"OPHTHALMOLOGY, GENERAL",ACUTE,OPHTHALMICS
23587080,1,DERMATOLOGICS,ACUTE,DERMATOLOGICALS
23590412,1,ONCOLOGICS,ACUTE,INJECTABLES
23833503,1,DERMATOLOGICS,ACUTE,DERMATOLOGICALS
23833510,1,DERMATOLOGICS,ACUTE,DERMATOLOGICALS
23884205,1,"OPHTHALMOLOGY, GENERAL",ACUTE,OPHTHALMICS
23915560,1,DERMATOLOGICS,ACUTE,DERMATOLOGICALS
23915630,1,DERMATOLOGICS,ACUTE,DERMATOLOGICALS
23917705,1,MIOTICS+ANTIGLAUCOMA PREPS,CHRONIC,OPHTHALMICS
23917710,1,MIOTICS+ANTIGLAUCOMA PREPS,CHRONIC,OPHTHALMICS
23917715,1,MIOTICS+ANTIGLAUCOMA PREPS,CHRONIC,OPHTHALMICS
23921105,1,MIOTICS+ANTIGLAUCOMA PREPS,CHRONIC,OPHTHALMICS
23921110,1,MIOTICS+ANTIGLAUCOMA PREPS,CHRONIC,OPHTHALMICS
23921115,1,MIOTICS+ANTIGLAUCOMA PREPS,CHRONIC,OPHTHALMICS
23932105,1,MIOTICS+ANTIGLAUCOMA PREPS,CHRONIC,OPHTHALMICS
23932110,1,MIOTICS+ANTIGLAUCOMA PREPS,CHRONIC,OPHTHALMICS
23932115,1,MIOTICS+ANTIGLAUCOMA PREPS,CHRONIC,OPHTHALMICS
24159601,1,"ANTI-PARASITICS, ANTIMALARIALS, INSECTICIDES",ACUTE,ORALS
24414210,1,OTHER CARDIOVASCULARS,ACUTE,ORALS
24414260,1,OTHER CARDIOVASCULARS,ACUTE,ORALS
24540131,1,OTHER CNS,ACUTE,ORALS
24542131,1,OTHER CNS,ACUTE,ORALS
24550131,1,OTHER CNS,ACUTE,ORALS
24552131,1,OTHER CNS,ACUTE,ORALS
24574502,1,ANTIDIABETICS,CHRONIC,INJECTABLES
24574702,1,ANTIDIABETICS,CHRONIC,INJECTABLES
