,cluster,Major_Class,Acute_Chronic,Prod_Form
2879959,2,ANTIDIABETICS,CHRONIC,INJECTABLES
2880301,5,ANTIDIABETICS,CHRONIC,INJECTABLES
2880359,5,ANTIDIABETICS,CHRONIC,INJECTABLES
2880501,5,ANTIDIABETICS,CHRONIC,INJECTABLES
2880559,5,ANTIDIABETICS,CHRONIC,INJECTABLES
2882401,5,ANTIDIABETICS,CHRONIC,INJECTABLES
2882427,5,ANTIDIABETICS,CHRONIC,INJECTABLES
2892601,2,ONCOLOGICS,ACUTE,INJECTABLES
3001101,4,VIRAL HEPATITIS,ACUTE,ORALS
3021301,1,VIRAL HEPATITIS,ACUTE,ORALS
3021501,1,VIRAL HEPATITIS,ACUTE,ORALS
3037113,5,IMMUNOSUPPRESSANTS,ACUTE,INJECTABLES
3052411,5,ONCOLOGICS,ACUTE,ORALS
3052711,5,ONCOLOGICS,ACUTE,ORALS
3052811,5,ONCOLOGICS,ACUTE,ORALS
3083050,1,ONCOLOGICS,ACUTE,ORALS
3085222,5,ONCOLOGICS,ACUTE,ORALS
3085522,5,ONCOLOGICS,ACUTE,ORALS
3085722,5,ONCOLOGICS,ACUTE,ORALS
3089321,5,ANTICOAGULANTS,CHRONIC,ORALS
3089331,5,ANTICOAGULANTS,CHRONIC,ORALS
3089421,5,ANTICOAGULANTS,CHRONIC,ORALS
3089431,5,ANTICOAGULANTS,CHRONIC,ORALS
3089470,5,ANTICOAGULANTS,CHRONIC,ORALS
3161112,1,VIRAL HEPATITIS,ACUTE,ORALS
3161113,1,VIRAL HEPATITIS,ACUTE,ORALS
3161212,1,VIRAL HEPATITIS,ACUTE,ORALS
3161412,5,VIRAL HEPATITIS,ACUTE,ORALS
3196701,5,,,
3196801,1,HIV ANTIVIRALS,CHRONIC,ORALS
3218710,1,IMMUNOLOGY,CHRONIC,INJECTABLES
3218713,5,IMMUNOLOGY,CHRONIC,INJECTABLES
3218811,1,IMMUNOLOGY,CHRONIC,INJECTABLES
3218851,5,IMMUNOLOGY,CHRONIC,INJECTABLES
3223011,1,ANTIBACTERIALS,ACUTE,INJECTABLES
3229111,5,ONCOLOGICS,ACUTE,INJECTABLES
3232711,5,ONCOLOGICS,ACUTE,INJECTABLES
3232822,4,ONCOLOGICS,ACUTE,INJECTABLES
3256016,4,ANTIBACTERIALS,ACUTE,INJECTABLES
3257016,4,ANTIBACTERIALS,ACUTE,INJECTABLES
3281411,5,IMMUNOLOGY,CHRONIC,INJECTABLES
3281811,5,IMMUNOLOGY,CHRONIC,INJECTABLES
3362212,1,HIV ANTIVIRALS,CHRONIC,ORALS
3362412,1,HIV ANTIVIRALS,CHRONIC,ORALS
3363112,1,HIV ANTIVIRALS,CHRONIC,ORALS
3363810,2,HIV ANTIVIRALS,CHRONIC,ORALS
3364111,1,HIV ANTIVIRALS,CHRONIC,ORALS
3373413,5,ONCOLOGICS,ACUTE,INJECTABLES
3376474,5,ANTICOAGULANTS,CHRONIC,ORALS
3377211,1,ONCOLOGICS,ACUTE,INJECTABLES
3377412,1,ONCOLOGICS,ACUTE,INJECTABLES
3452211,5,ONCOLOGICS,ACUTE,INJECTABLES
3517805,1,LIPID REGULATORS,CHRONIC,ORALS
3519410,1,LIPID REGULATORS,CHRONIC,ORALS
3519510,1,LIPID REGULATORS,CHRONIC,ORALS
4003822,1,"ANTIVIRALS, HERPES",CHRONIC,ORALS
4003909,3,"ANTIVIRALS, HERPES",CHRONIC,ORALS
4005801,5,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
4005832,5,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
4006801,5,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
4006832,5,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
4009801,5,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
4018682,1,OSTEOPOROSIS,CHRONIC,ORALS
4018683,1,OSTEOPOROSIS,CHRONIC,ORALS
4019109,1,OSTEOPOROSIS,CHRONIC,INJECTABLES
4024451,1,HIV ANTIVIRALS,CHRONIC,ORALS
4024515,1,HIV ANTIVIRALS,CHRONIC,ORALS
4025752,1,"ANTI-OBESITY PREPS, EXCL. DIETETICS",ACUTE,ORALS
4025901,1,IMMUNOSUPPRESSANTS,ACUTE,ORALS
4025943,3,IMMUNOSUPPRESSANTS,ACUTE,ORALS
4026001,1,IMMUNOSUPPRESSANTS,ACUTE,ORALS
4026043,1,IMMUNOSUPPRESSANTS,ACUTE,ORALS
4026129,1,IMMUNOSUPPRESSANTS,ACUTE,ORALS
4029809,3,IMMUNOSUPPRESSANTS,ACUTE,INJECTABLES
4035009,5,VIRAL HEPATITIS,ACUTE,INJECTABLES
4035730,5,VIRAL HEPATITIS,ACUTE,INJECTABLES
4036030,1,VIRAL HEPATITIS,ACUTE,INJECTABLES
4036530,1,VIRAL HEPATITIS,ACUTE,INJECTABLES
4038140,1,HIV ANTIVIRALS,CHRONIC,INJECTABLES
4080085,3,"COUGH COLD, INCL FLU ANTIVIRALS",ACUTE,ORALS
4080185,3,"COUGH COLD, INCL FLU ANTIVIRALS",ACUTE,ORALS
4080285,3,"COUGH COLD, INCL FLU ANTIVIRALS",ACUTE,ORALS
4082205,3,"COUGH COLD, INCL FLU ANTIVIRALS",ACUTE,ORALS
4110020,3,ONCOLOGICS,ACUTE,ORALS
4110150,5,ONCOLOGICS,ACUTE,ORALS
5010001,5,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
5010005,4,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
5010010,4,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
5197101,3,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
5197102,4,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
5197105,4,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6000510,4,OTHER CNS,ACUTE,ORALS
6000530,5,OTHER CNS,ACUTE,ORALS
6001954,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6003144,1,OSTEOPOROSIS,CHRONIC,ORALS
6003220,1,"ANTI-PARASITICS, ANTIMALARIALS, INSECTICIDES",ACUTE,ORALS
6003310,1,OTHER CNS,ACUTE,ORALS
6003330,4,OTHER CNS,ACUTE,ORALS
6007131,4,DERMATOLOGICS,ACUTE,ORALS
6007154,1,DERMATOLOGICS,ACUTE,ORALS
6007231,1,BPH (BENIGN PROSTATIC HYPERTROPHY),CHRONIC,ORALS
6007258,1,BPH (BENIGN PROSTATIC HYPERTROPHY),CHRONIC,ORALS
6007861,5,ANTIDIABETICS,CHRONIC,ORALS
6007862,5,ANTIDIABETICS,CHRONIC,ORALS
6007882,2,ANTIDIABETICS,CHRONIC,ORALS
6008061,5,ANTIDIABETICS,CHRONIC,ORALS
6008062,5,ANTIDIABETICS,CHRONIC,ORALS
6008082,5,ANTIDIABETICS,CHRONIC,ORALS
6008131,5,ANTIDIABETICS,CHRONIC,ORALS
6008154,5,ANTIDIABETICS,CHRONIC,ORALS
6008182,5,ANTIDIABETICS,CHRONIC,ORALS
6010654,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6011201,5,ANTIDIABETICS,CHRONIC,ORALS
6011228,3,ANTIDIABETICS,CHRONIC,ORALS
6011231,5,ANTIDIABETICS,CHRONIC,ORALS
6011254,5,ANTIDIABETICS,CHRONIC,ORALS
6020754,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6022101,5,ANTIDIABETICS,CHRONIC,ORALS
6022128,5,ANTIDIABETICS,CHRONIC,ORALS
6022131,5,ANTIDIABETICS,CHRONIC,ORALS
6022154,5,ANTIDIABETICS,CHRONIC,ORALS
6022761,1,HIV ANTIVIRALS,CHRONIC,ORALS
6026618,1,PAIN,ACUTE,ORALS
6026701,2,PAIN,ACUTE,ORALS
6026718,1,PAIN,ACUTE,ORALS
6027044,1,OSTEOPOROSIS,CHRONIC,ORALS
6027701,5,ANTIDIABETICS,CHRONIC,ORALS
6027702,4,ANTIDIABETICS,CHRONIC,ORALS
6027728,1,ANTIDIABETICS,CHRONIC,ORALS
6027731,5,ANTIDIABETICS,CHRONIC,ORALS
6027733,1,ANTIDIABETICS,CHRONIC,ORALS
6027754,5,ANTIDIABETICS,CHRONIC,ORALS
6027782,4,ANTIDIABETICS,CHRONIC,ORALS
6032510,3,OTHER CNS,ACUTE,ORALS
6032530,2,OTHER CNS,ACUTE,ORALS
6033510,5,OTHER CNS,ACUTE,ORALS
6033530,5,OTHER CNS,ACUTE,ORALS
6035131,3,,,
6035154,3,,,
6046102,1,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
6046106,1,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
6046201,2,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
6046206,1,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
6046401,1,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
6046405,1,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
6046410,1,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
6047361,3,HIV ANTIVIRALS,CHRONIC,ORALS
6047761,2,HIV ANTIVIRALS,CHRONIC,ORALS
6054331,1,LIPID REGULATORS,CHRONIC,ORALS
6054354,1,LIPID REGULATORS,CHRONIC,ORALS
6056840,1,ONCOLOGICS,ACUTE,ORALS
6057362,1,HIV ANTIVIRALS,CHRONIC,ORALS
6057561,2,ANTIDIABETICS,CHRONIC,ORALS
6057562,2,ANTIDIABETICS,CHRONIC,ORALS
6057582,2,ANTIDIABETICS,CHRONIC,ORALS
6057761,2,ANTIDIABETICS,CHRONIC,ORALS
6057762,5,ANTIDIABETICS,CHRONIC,ORALS
6057782,5,ANTIDIABETICS,CHRONIC,ORALS
6071044,1,OSTEOPOROSIS,CHRONIC,ORALS
6071731,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6071754,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6072631,1,LIPID REGULATORS,CHRONIC,ORALS
6073531,1,LIPID REGULATORS,CHRONIC,ORALS
6073554,1,LIPID REGULATORS,CHRONIC,ORALS
6074031,1,LIPID REGULATORS,CHRONIC,ORALS
6074054,1,LIPID REGULATORS,CHRONIC,ORALS
6074531,3,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6074554,4,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6074731,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6074754,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6074931,1,LIPID REGULATORS,CHRONIC,ORALS
6074954,1,LIPID REGULATORS,CHRONIC,ORALS
6095154,5,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6095231,3,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6095254,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6096031,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6096054,4,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6171131,1,RESPIRATORY AGENTS,CHRONIC,ORALS
6302500,4,SPEC IMMUNOGLOBULINS & ANTITOXIC SERA,ACUTE,INJECTABLES
6302602,5,ONCOLOGICS,ACUTE,INJECTABLES
6302604,5,ONCOLOGICS,ACUTE,INJECTABLES
6306100,4,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,INJECTABLES
6306104,4,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,INJECTABLES
6306603,5,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
6306901,5,HIV ANTIVIRALS,CHRONIC,ORALS
6307401,4,VIRAL HEPATITIS,ACUTE,ORALS
6307402,1,VIRAL HEPATITIS,ACUTE,ORALS
6307502,5,"ANTIVIRALS, HERPES",CHRONIC,ORALS
6307504,5,"ANTIVIRALS, HERPES",CHRONIC,ORALS
6307602,5,"ANTIVIRALS, HERPES",CHRONIC,ORALS
6307603,5,"ANTIVIRALS, HERPES",CHRONIC,ORALS
6307604,5,"ANTIVIRALS, HERPES",CHRONIC,ORALS
6308001,5,HIV ANTIVIRALS,CHRONIC,ORALS
6351659,3,ANTIBACTERIALS,ACUTE,INJECTABLES
6351936,2,MIOTICS+ANTIGLAUCOMA PREPS,CHRONIC,OPHTHALMICS
6360360,1,HIV ANTIVIRALS,CHRONIC,ORALS
6360361,5,HIV ANTIVIRALS,CHRONIC,ORALS
6380018,1,PAIN,ACUTE,ORALS
6380101,2,PAIN,ACUTE,ORALS
6380118,1,PAIN,ACUTE,ORALS
6382210,1,SYST ANTIFUNGALS,ACUTE,INJECTABLES
6382310,3,SYST ANTIFUNGALS,ACUTE,INJECTABLES
6384130,1,RESPIRATORY AGENTS,CHRONIC,ORALS
6384371,1,ANTIBACTERIALS,ACUTE,INJECTABLES
6384571,1,ANTIBACTERIALS,ACUTE,INJECTABLES
6386203,1,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
6391568,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
6391668,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
6391768,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
6391868,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
6391968,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
6394132,1,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,INJECTABLES
6404500,3,,,
6404501,3,,,
6404541,3,,,
6404701,3,"VACCINES (PURE, COMB, OTHER)",ACUTE,ORALS
6404741,5,"VACCINES (PURE, COMB, OTHER)",ACUTE,ORALS
6409302,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6409402,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6409501,2,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6409502,5,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6409601,4,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6409602,4,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6410901,3,,,
6410902,3,,,
6410909,5,,,
6411901,2,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6411903,4,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6412101,5,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6412102,5,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6417100,2,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6422930,1,DIAGNOSTIC EQUIP & ACCESSORIES & ALLERGEN TESTS,ACUTE,ORALS
6430501,4,IMMUNOLOGY,CHRONIC,INJECTABLES
6430502,5,IMMUNOLOGY,CHRONIC,INJECTABLES
6468100,4,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6468101,4,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6482700,4,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6482701,4,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6483101,3,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6483141,2,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6483701,5,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6483702,2,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6483703,4,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6484100,3,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6484101,4,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6484141,4,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6489700,4,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6489701,5,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6494300,4,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6494301,2,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6496300,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6496301,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6496341,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6498100,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6499200,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6499201,4,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6499500,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6499541,1,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6499900,4,,,
6500701,5,HIV ANTIVIRALS,CHRONIC,ORALS
6536303,5,ANTIDIABETICS,CHRONIC,ORALS
6536306,5,ANTIDIABETICS,CHRONIC,ORALS
6536307,5,ANTIDIABETICS,CHRONIC,ORALS
6536403,5,ANTIDIABETICS,CHRONIC,ORALS
6536406,5,ANTIDIABETICS,CHRONIC,ORALS
6536407,5,ANTIDIABETICS,CHRONIC,ORALS
6536703,5,ANTIDIABETICS,CHRONIC,ORALS
6536706,5,ANTIDIABETICS,CHRONIC,ORALS
6536803,5,ANTIDIABETICS,CHRONIC,ORALS
6536806,5,ANTIDIABETICS,CHRONIC,ORALS
6536903,5,ANTIDIABETICS,CHRONIC,ORALS
6537003,5,ANTIDIABETICS,CHRONIC,ORALS
6537303,5,ANTIDIABETICS,CHRONIC,ORALS
6537306,5,ANTIDIABETICS,CHRONIC,ORALS
6537403,5,ANTIDIABETICS,CHRONIC,ORALS
6537406,5,ANTIDIABETICS,CHRONIC,ORALS
6537407,5,ANTIDIABETICS,CHRONIC,ORALS
6542030,1,DIAGNOSTIC EQUIP & ACCESSORIES & ALLERGEN TESTS,ACUTE,ORALS
6542054,1,DIAGNOSTIC EQUIP & ACCESSORIES & ALLERGEN TESTS,ACUTE,ORALS
6542402,5,SPEC IMMUNOGLOBULINS & ANTITOXIC SERA,ACUTE,INJECTABLES
6911731,1,RESPIRATORY AGENTS,CHRONIC,ORALS
6911754,1,RESPIRATORY AGENTS,CHRONIC,ORALS
6927531,1,RESPIRATORY AGENTS,CHRONIC,ORALS
7337013,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7337113,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7337213,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7337313,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7365022,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7365030,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7413920,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7414020,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7414120,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7414220,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7420511,5,,,
7420711,3,,,
7464313,3,,,
7488213,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
7488313,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
7488513,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
7488713,2,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
7488813,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
7488859,4,,,
7489020,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
7489120,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
7489220,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
7489320,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
7489520,2,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
7489620,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
7518022,4,,,
7518025,4,,,
8010001,4,ONCOLOGICS,ACUTE,INJECTABLES
8083302,5,MENTAL HEALTH,CHRONIC,ORALS
8083303,1,MENTAL HEALTH,CHRONIC,ORALS
8083320,1,MENTAL HEALTH,CHRONIC,ORALS
8083321,1,MENTAL HEALTH,CHRONIC,ORALS
8083322,1,MENTAL HEALTH,CHRONIC,ORALS
8083602,3,,,
8083603,1,MENTAL HEALTH,CHRONIC,ORALS
8083620,3,MENTAL HEALTH,CHRONIC,ORALS
8083621,1,MENTAL HEALTH,CHRONIC,ORALS
8083622,1,MENTAL HEALTH,CHRONIC,ORALS
8083702,3,MENTAL HEALTH,CHRONIC,ORALS
8083703,1,MENTAL HEALTH,CHRONIC,ORALS
8083720,1,MENTAL HEALTH,CHRONIC,ORALS
8083721,1,MENTAL HEALTH,CHRONIC,ORALS
8083722,1,MENTAL HEALTH,CHRONIC,ORALS
8084181,1,ANTI-ULCERANTS,CHRONIC,ORALS
8084381,2,ANTI-ULCERANTS,CHRONIC,ORALS
8084401,2,ANTI-ULCERANTS,CHRONIC,ORALS
8084402,4,ANTI-ULCERANTS,CHRONIC,ORALS
8092351,1,ANTI-ULCERANTS,CHRONIC,INJECTABLES
8092355,1,ANTI-ULCERANTS,CHRONIC,INJECTABLES
