ndc,cluster,class,acute_chronic,form
2481554,243,ONCOLOGICS,ACUTE,ORALS
2512130,218,ANTICOAGULANTS,CHRONIC,ORALS
2512152,218,ANTICOAGULANTS,CHRONIC,ORALS
2512301,218,ANTICOAGULANTS,CHRONIC,ORALS
2512330,153,ANTICOAGULANTS,CHRONIC,ORALS
2512377,218,ANTICOAGULANTS,CHRONIC,ORALS
2533754,296,ONCOLOGICS,ACUTE,ORALS
2621654,99,ONCOLOGICS,ACUTE,ORALS
2751001,285,ANTIDIABETICS,CHRONIC,INJECTABLES
2751017,267,ANTIDIABETICS,CHRONIC,INJECTABLES
2751101,127,ANTIDIABETICS,CHRONIC,INJECTABLES
2751201,99,ANTIDIABETICS,CHRONIC,INJECTABLES
2751601,218,ANTIDIABETICS,CHRONIC,INJECTABLES
2751659,220,ANTIDIABETICS,CHRONIC,INJECTABLES
2759701,218,MENTAL HEALTH,CHRONIC,INJECTABLES
2762301,127,ONCOLOGICS,ACUTE,INJECTABLES
2763511,99,MENTAL HEALTH,CHRONIC,OTHER SYSTEMICS
2763611,220,MENTAL HEALTH,CHRONIC,OTHER SYSTEMICS
2763711,220,MENTAL HEALTH,CHRONIC,OTHER SYSTEMICS
2764001,99,ONCOLOGICS,ACUTE,INJECTABLES
2766901,218,ONCOLOGICS,ACUTE,INJECTABLES
2767801,218,ONCOLOGICS,ACUTE,INJECTABLES
2771227,282,ANTIDIABETICS,CHRONIC,INJECTABLES
2771401,218,ANTIDIABETICS,CHRONIC,INJECTABLES
2771459,296,ANTIDIABETICS,CHRONIC,INJECTABLES
2771501,243,ANTIDIABETICS,CHRONIC,INJECTABLES
2771559,155,ANTIDIABETICS,CHRONIC,INJECTABLES
2771601,218,ONCOLOGICS,ACUTE,INJECTABLES
2772409,218,IMMUNOLOGY,CHRONIC,INJECTABLES
2772411,111,IMMUNOLOGY,CHRONIC,INJECTABLES
2772427,279,IMMUNOLOGY,CHRONIC,INJECTABLES
2821501,127,ANTIDIABETICS,CHRONIC,INJECTABLES
2821517,220,ANTIDIABETICS,CHRONIC,INJECTABLES
2831501,85,ANTIDIABETICS,CHRONIC,INJECTABLES
2831517,206,ANTIDIABETICS,CHRONIC,INJECTABLES
2840001,59,OSTEOPOROSIS,CHRONIC,INJECTABLES
2850101,232,ANTIDIABETICS,CHRONIC,INJECTABLES
2871501,85,ANTIDIABETICS,CHRONIC,INJECTABLES
2871517,206,ANTIDIABETICS,CHRONIC,INJECTABLES
2879701,218,ANTIDIABETICS,CHRONIC,INJECTABLES
2879759,231,ANTIDIABETICS,CHRONIC,INJECTABLES
2879801,218,ANTIDIABETICS,CHRONIC,INJECTABLES
2879859,96,ANTIDIABETICS,CHRONIC,INJECTABLES
2879901,99,ANTIDIABETICS,CHRONIC,INJECTABLES
2879959,204,ANTIDIABETICS,CHRONIC,INJECTABLES
2880301,218,ANTIDIABETICS,CHRONIC,INJECTABLES
2880359,127,ANTIDIABETICS,CHRONIC,INJECTABLES
2880501,218,ANTIDIABETICS,CHRONIC,INJECTABLES
2880559,127,ANTIDIABETICS,CHRONIC,INJECTABLES
2882401,218,ANTIDIABETICS,CHRONIC,INJECTABLES
2882427,157,ANTIDIABETICS,CHRONIC,INJECTABLES
2892601,218,ONCOLOGICS,ACUTE,INJECTABLES
3001101,218,VIRAL HEPATITIS,ACUTE,ORALS
3021301,218,VIRAL HEPATITIS,ACUTE,ORALS
3021501,279,VIRAL HEPATITIS,ACUTE,ORALS
3037113,206,IMMUNOSUPPRESSANTS,ACUTE,INJECTABLES
3052411,296,ONCOLOGICS,ACUTE,ORALS
3052711,206,ONCOLOGICS,ACUTE,ORALS
3052811,220,ONCOLOGICS,ACUTE,ORALS
3083050,218,ONCOLOGICS,ACUTE,ORALS
3085222,125,ONCOLOGICS,ACUTE,ORALS
3085522,296,ONCOLOGICS,ACUTE,ORALS
3085722,96,ONCOLOGICS,ACUTE,ORALS
3089321,242,ANTICOAGULANTS,CHRONIC,ORALS
3089331,99,ANTICOAGULANTS,CHRONIC,ORALS
3089421,95,ANTICOAGULANTS,CHRONIC,ORALS
3089431,99,ANTICOAGULANTS,CHRONIC,ORALS
3089470,99,ANTICOAGULANTS,CHRONIC,ORALS
3161112,0,VIRAL HEPATITIS,ACUTE,ORALS
3161113,218,VIRAL HEPATITIS,ACUTE,ORALS
3161212,99,VIRAL HEPATITIS,ACUTE,ORALS
3161412,218,VIRAL HEPATITIS,ACUTE,ORALS
3196801,218,HIV ANTIVIRALS,CHRONIC,ORALS
3218710,241,IMMUNOLOGY,CHRONIC,INJECTABLES
3218713,103,IMMUNOLOGY,CHRONIC,INJECTABLES
3218811,254,IMMUNOLOGY,CHRONIC,INJECTABLES
3218851,251,IMMUNOLOGY,CHRONIC,INJECTABLES
3223011,218,ANTIBACTERIALS,ACUTE,INJECTABLES
3229111,99,ONCOLOGICS,ACUTE,INJECTABLES
3232711,99,ONCOLOGICS,ACUTE,INJECTABLES
3232822,218,ONCOLOGICS,ACUTE,INJECTABLES
3256016,218,ANTIBACTERIALS,ACUTE,INJECTABLES
3257016,218,ANTIBACTERIALS,ACUTE,INJECTABLES
3281411,243,IMMUNOLOGY,CHRONIC,INJECTABLES
3281811,243,IMMUNOLOGY,CHRONIC,INJECTABLES
3362212,153,HIV ANTIVIRALS,CHRONIC,ORALS
3362412,218,HIV ANTIVIRALS,CHRONIC,ORALS
3363112,0,HIV ANTIVIRALS,CHRONIC,ORALS
3363810,218,HIV ANTIVIRALS,CHRONIC,ORALS
3364111,96,HIV ANTIVIRALS,CHRONIC,ORALS
3373413,99,ONCOLOGICS,ACUTE,INJECTABLES
3376474,218,ANTICOAGULANTS,CHRONIC,ORALS
3377211,99,ONCOLOGICS,ACUTE,INJECTABLES
3377412,99,ONCOLOGICS,ACUTE,INJECTABLES
3452211,99,ONCOLOGICS,ACUTE,INJECTABLES
3517805,218,LIPID REGULATORS,CHRONIC,ORALS
3519410,218,LIPID REGULATORS,CHRONIC,ORALS
3519510,218,LIPID REGULATORS,CHRONIC,ORALS
4003822,99,"ANTIVIRALS, HERPES",CHRONIC,ORALS
4003909,218,"ANTIVIRALS, HERPES",CHRONIC,ORALS
4005801,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
4005832,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
4006801,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
4006832,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
4009801,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
4018682,218,OSTEOPOROSIS,CHRONIC,ORALS
4018683,206,OSTEOPOROSIS,CHRONIC,ORALS
4019109,218,OSTEOPOROSIS,CHRONIC,INJECTABLES
4024451,218,HIV ANTIVIRALS,CHRONIC,ORALS
4024515,218,HIV ANTIVIRALS,CHRONIC,ORALS
4025752,218,"ANTI-OBESITY PREPS, EXCL. DIETETICS",ACUTE,ORALS
4025901,218,IMMUNOSUPPRESSANTS,ACUTE,ORALS
4025943,218,IMMUNOSUPPRESSANTS,ACUTE,ORALS
4026001,99,IMMUNOSUPPRESSANTS,ACUTE,ORALS
4026043,218,IMMUNOSUPPRESSANTS,ACUTE,ORALS
4026129,218,IMMUNOSUPPRESSANTS,ACUTE,ORALS
4029809,218,IMMUNOSUPPRESSANTS,ACUTE,INJECTABLES
4035009,208,VIRAL HEPATITIS,ACUTE,INJECTABLES
4035730,127,VIRAL HEPATITIS,ACUTE,INJECTABLES
4036030,218,VIRAL HEPATITIS,ACUTE,INJECTABLES
4036530,99,VIRAL HEPATITIS,ACUTE,INJECTABLES
4038140,218,HIV ANTIVIRALS,CHRONIC,INJECTABLES
4080085,264,"COUGH COLD, INCL FLU ANTIVIRALS",ACUTE,ORALS
4080185,218,"COUGH COLD, INCL FLU ANTIVIRALS",ACUTE,ORALS
4080285,0,"COUGH COLD, INCL FLU ANTIVIRALS",ACUTE,ORALS
4082205,264,"COUGH COLD, INCL FLU ANTIVIRALS",ACUTE,ORALS
4110020,218,ONCOLOGICS,ACUTE,ORALS
4110150,206,ONCOLOGICS,ACUTE,ORALS
5010001,218,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
5010005,220,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
5010010,206,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
5197101,96,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
5197102,13,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
5197105,77,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6000510,218,OTHER CNS,ACUTE,ORALS
6000530,99,OTHER CNS,ACUTE,ORALS
6001954,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6003144,99,OSTEOPOROSIS,CHRONIC,ORALS
6003220,218,"ANTI-PARASITICS, ANTIMALARIALS, INSECTICIDES",ACUTE,ORALS
6003310,218,OTHER CNS,ACUTE,ORALS
6003330,96,OTHER CNS,ACUTE,ORALS
6007131,218,DERMATOLOGICS,ACUTE,ORALS
6007154,218,DERMATOLOGICS,ACUTE,ORALS
6007231,218,BPH (BENIGN PROSTATIC HYPERTROPHY),CHRONIC,ORALS
6007258,218,BPH (BENIGN PROSTATIC HYPERTROPHY),CHRONIC,ORALS
6007861,99,ANTIDIABETICS,CHRONIC,ORALS
6007862,218,ANTIDIABETICS,CHRONIC,ORALS
6007882,218,ANTIDIABETICS,CHRONIC,ORALS
6008061,127,ANTIDIABETICS,CHRONIC,ORALS
6008062,99,ANTIDIABETICS,CHRONIC,ORALS
6008082,218,ANTIDIABETICS,CHRONIC,ORALS
6008131,127,ANTIDIABETICS,CHRONIC,ORALS
6008154,206,ANTIDIABETICS,CHRONIC,ORALS
6008182,99,ANTIDIABETICS,CHRONIC,ORALS
6010654,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6011201,218,ANTIDIABETICS,CHRONIC,ORALS
6011228,99,ANTIDIABETICS,CHRONIC,ORALS
6011231,231,ANTIDIABETICS,CHRONIC,ORALS
6011254,85,ANTIDIABETICS,CHRONIC,ORALS
6020754,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6022101,218,ANTIDIABETICS,CHRONIC,ORALS
6022128,218,ANTIDIABETICS,CHRONIC,ORALS
6022131,127,ANTIDIABETICS,CHRONIC,ORALS
6022154,96,ANTIDIABETICS,CHRONIC,ORALS
6022761,85,HIV ANTIVIRALS,CHRONIC,ORALS
6026618,218,PAIN,ACUTE,ORALS
6026701,218,PAIN,ACUTE,ORALS
6026718,99,PAIN,ACUTE,ORALS
6027044,218,OSTEOPOROSIS,CHRONIC,ORALS
6027701,218,ANTIDIABETICS,CHRONIC,ORALS
6027702,99,ANTIDIABETICS,CHRONIC,ORALS
6027728,0,ANTIDIABETICS,CHRONIC,ORALS
6027731,192,ANTIDIABETICS,CHRONIC,ORALS
6027733,218,ANTIDIABETICS,CHRONIC,ORALS
6027754,282,ANTIDIABETICS,CHRONIC,ORALS
6027782,85,ANTIDIABETICS,CHRONIC,ORALS
6032510,218,OTHER CNS,ACUTE,ORALS
6032530,206,OTHER CNS,ACUTE,ORALS
6033510,218,OTHER CNS,ACUTE,ORALS
6033530,220,OTHER CNS,ACUTE,ORALS
6046102,218,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
6046106,218,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
6046201,218,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
6046206,218,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
6046401,218,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
6046405,218,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
6046410,218,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
6047361,218,HIV ANTIVIRALS,CHRONIC,ORALS
6047761,218,HIV ANTIVIRALS,CHRONIC,ORALS
6054331,218,LIPID REGULATORS,CHRONIC,ORALS
6054354,218,LIPID REGULATORS,CHRONIC,ORALS
6056840,218,ONCOLOGICS,ACUTE,ORALS
6057362,218,HIV ANTIVIRALS,CHRONIC,ORALS
6057561,220,ANTIDIABETICS,CHRONIC,ORALS
6057562,99,ANTIDIABETICS,CHRONIC,ORALS
6057582,218,ANTIDIABETICS,CHRONIC,ORALS
6057761,149,ANTIDIABETICS,CHRONIC,ORALS
6057762,206,ANTIDIABETICS,CHRONIC,ORALS
6057782,99,ANTIDIABETICS,CHRONIC,ORALS
6071044,99,OSTEOPOROSIS,CHRONIC,ORALS
6071731,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6071754,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6072631,218,LIPID REGULATORS,CHRONIC,ORALS
6073531,218,LIPID REGULATORS,CHRONIC,ORALS
6073554,218,LIPID REGULATORS,CHRONIC,ORALS
6074031,218,LIPID REGULATORS,CHRONIC,ORALS
6074054,218,LIPID REGULATORS,CHRONIC,ORALS
6074531,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6074554,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6074731,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6074754,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6074931,218,LIPID REGULATORS,CHRONIC,ORALS
6074954,218,LIPID REGULATORS,CHRONIC,ORALS
6095154,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6095231,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6095254,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6096031,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6096054,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
6171131,218,RESPIRATORY AGENTS,CHRONIC,ORALS
6302500,218,SPEC IMMUNOGLOBULINS & ANTITOXIC SERA,ACUTE,INJECTABLES
6302602,182,ONCOLOGICS,ACUTE,INJECTABLES
6302604,218,ONCOLOGICS,ACUTE,INJECTABLES
6306100,99,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,INJECTABLES
6306104,218,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,INJECTABLES
6306603,218,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
6306901,99,HIV ANTIVIRALS,CHRONIC,ORALS
6307401,218,VIRAL HEPATITIS,ACUTE,ORALS
6307402,140,VIRAL HEPATITIS,ACUTE,ORALS
6307502,218,"ANTIVIRALS, HERPES",CHRONIC,ORALS
6307504,218,"ANTIVIRALS, HERPES",CHRONIC,ORALS
6307602,99,"ANTIVIRALS, HERPES",CHRONIC,ORALS
6307603,218,"ANTIVIRALS, HERPES",CHRONIC,ORALS
6307604,218,"ANTIVIRALS, HERPES",CHRONIC,ORALS
6308001,99,HIV ANTIVIRALS,CHRONIC,ORALS
6351659,218,ANTIBACTERIALS,ACUTE,INJECTABLES
6351936,218,MIOTICS+ANTIGLAUCOMA PREPS,CHRONIC,OPHTHALMICS
6360360,218,HIV ANTIVIRALS,CHRONIC,ORALS
6360361,218,HIV ANTIVIRALS,CHRONIC,ORALS
6380018,218,PAIN,ACUTE,ORALS
6380101,218,PAIN,ACUTE,ORALS
6380118,99,PAIN,ACUTE,ORALS
6382210,218,SYST ANTIFUNGALS,ACUTE,INJECTABLES
6382310,218,SYST ANTIFUNGALS,ACUTE,INJECTABLES
6384130,218,RESPIRATORY AGENTS,CHRONIC,ORALS
6384371,202,ANTIBACTERIALS,ACUTE,INJECTABLES
6384571,99,ANTIBACTERIALS,ACUTE,INJECTABLES
6386203,0,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
6391568,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
6391668,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
6391768,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
6391868,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
6391968,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
6394132,0,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,INJECTABLES
6404701,218,"VACCINES (PURE, COMB, OTHER)",ACUTE,ORALS
6404741,218,"VACCINES (PURE, COMB, OTHER)",ACUTE,ORALS
6409302,218,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6409402,218,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6409501,218,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6409502,218,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6409601,218,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6409602,220,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6411901,218,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6411903,267,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6412101,218,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6412102,213,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6417100,218,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6422930,218,DIAGNOSTIC EQUIP & ACCESSORIES & ALLERGEN TESTS,ACUTE,ORALS
6430501,218,IMMUNOLOGY,CHRONIC,INJECTABLES
6430502,243,IMMUNOLOGY,CHRONIC,INJECTABLES
6468100,191,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6468101,218,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6482700,235,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6482701,218,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6483101,218,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6483141,218,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6483701,243,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6483702,210,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6483703,36,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6484100,218,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6484101,218,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6484141,206,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6489700,218,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6489701,218,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6494300,172,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6494301,99,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6496300,140,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6496301,218,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6496341,80,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6498100,218,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6499200,218,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6499201,218,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6499500,0,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6499541,0,"VACCINES (PURE, COMB, OTHER)",ACUTE,INJECTABLES
6500701,218,HIV ANTIVIRALS,CHRONIC,ORALS
6536303,243,ANTIDIABETICS,CHRONIC,ORALS
6536306,218,ANTIDIABETICS,CHRONIC,ORALS
6536307,218,ANTIDIABETICS,CHRONIC,ORALS
6536403,243,ANTIDIABETICS,CHRONIC,ORALS
6536406,218,ANTIDIABETICS,CHRONIC,ORALS
6536407,218,ANTIDIABETICS,CHRONIC,ORALS
6536703,218,ANTIDIABETICS,CHRONIC,ORALS
6536706,218,ANTIDIABETICS,CHRONIC,ORALS
6536803,218,ANTIDIABETICS,CHRONIC,ORALS
6536806,218,ANTIDIABETICS,CHRONIC,ORALS
6536903,218,ANTIDIABETICS,CHRONIC,ORALS
6537003,218,ANTIDIABETICS,CHRONIC,ORALS
6537303,218,ANTIDIABETICS,CHRONIC,ORALS
6537306,218,ANTIDIABETICS,CHRONIC,ORALS
6537403,218,ANTIDIABETICS,CHRONIC,ORALS
6537406,218,ANTIDIABETICS,CHRONIC,ORALS
6537407,218,ANTIDIABETICS,CHRONIC,ORALS
6542030,218,DIAGNOSTIC EQUIP & ACCESSORIES & ALLERGEN TESTS,ACUTE,ORALS
6542054,218,DIAGNOSTIC EQUIP & ACCESSORIES & ALLERGEN TESTS,ACUTE,ORALS
6542402,218,SPEC IMMUNOGLOBULINS & ANTITOXIC SERA,ACUTE,INJECTABLES
6911731,99,RESPIRATORY AGENTS,CHRONIC,ORALS
6911754,218,RESPIRATORY AGENTS,CHRONIC,ORALS
6927531,218,RESPIRATORY AGENTS,CHRONIC,ORALS
7337013,99,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7337113,0,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7337213,0,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7337313,0,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7365022,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7365030,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7413920,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7414020,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7414120,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7414220,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
7488213,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
7488313,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
7488513,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
7488713,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
7488813,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
7489020,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
7489120,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
7489220,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
7489320,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
7489520,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
7489620,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
8010001,99,ONCOLOGICS,ACUTE,INJECTABLES
8083302,218,MENTAL HEALTH,CHRONIC,ORALS
8083303,218,MENTAL HEALTH,CHRONIC,ORALS
8083320,218,MENTAL HEALTH,CHRONIC,ORALS
8083321,99,MENTAL HEALTH,CHRONIC,ORALS
8083322,218,MENTAL HEALTH,CHRONIC,ORALS
8083603,218,MENTAL HEALTH,CHRONIC,ORALS
8083620,218,MENTAL HEALTH,CHRONIC,ORALS
8083621,206,MENTAL HEALTH,CHRONIC,ORALS
8083622,218,MENTAL HEALTH,CHRONIC,ORALS
8083702,218,MENTAL HEALTH,CHRONIC,ORALS
8083703,218,MENTAL HEALTH,CHRONIC,ORALS
8083720,218,MENTAL HEALTH,CHRONIC,ORALS
8083721,218,MENTAL HEALTH,CHRONIC,ORALS
8083722,218,MENTAL HEALTH,CHRONIC,ORALS
8084181,206,ANTI-ULCERANTS,CHRONIC,ORALS
8084381,218,ANTI-ULCERANTS,CHRONIC,ORALS
8084401,218,ANTI-ULCERANTS,CHRONIC,ORALS
8084402,96,ANTI-ULCERANTS,CHRONIC,ORALS
8092351,218,ANTI-ULCERANTS,CHRONIC,INJECTABLES
8092355,218,ANTI-ULCERANTS,CHRONIC,INJECTABLES
8092360,218,ANTI-ULCERANTS,CHRONIC,INJECTABLES
8103004,218,IMMUNOSUPPRESSANTS,ACUTE,ORALS
8103006,99,IMMUNOSUPPRESSANTS,ACUTE,ORALS
8104005,218,IMMUNOSUPPRESSANTS,ACUTE,ORALS
8104010,218,IMMUNOSUPPRESSANTS,ACUTE,ORALS
8104105,99,IMMUNOSUPPRESSANTS,ACUTE,ORALS
